A,B,C,D,E,F,Target
54.92,18.97,51.6,35.95,125.85,2.0,NO
95.48,46.55,59.0,48.93,96.68,77.28,SL
67.51,33.28,96.28,34.24,145.6,88.3,SL
45.58,18.76,33.77,26.82,116.8,3.13,NO
38.66,12.99,40.0,25.68,124.91,2.7,DH
47.81,10.69,54.0,37.12,125.39,-0.4,NO
51.62,15.97,35.0,35.66,129.39,1.01,NO
51.33,13.63,33.26,37.69,131.31,1.79,NO
36.16,-0.81,33.63,36.97,135.94,-2.09,NO
78.43,33.43,76.28,45.0,138.55,77.16,SL
70.25,10.34,76.37,59.91,119.24,32.67,SL
77.12,30.35,77.48,46.77,110.61,82.09,SL
66.29,26.33,47.5,39.96,121.22,-0.8,DH
58.52,13.92,41.47,44.6,115.51,30.39,SL
58.83,37.58,125.74,21.25,135.63,117.31,SL
46.39,11.08,32.14,35.31,98.77,6.39,DH
44.25,1.1,38.0,43.15,98.27,23.91,SL
42.02,-6.55,67.9,48.58,111.59,27.34,SL
53.43,15.86,37.17,37.57,120.57,5.99,DH
81.06,20.8,91.78,60.26,125.43,38.18,SL
47.32,8.57,35.56,38.75,120.58,1.63,NO
50.68,6.46,35.0,44.22,116.59,-0.21,NO
40.68,9.15,31.02,31.53,139.12,-2.51,NO
59.6,32.0,46.56,27.6,119.33,1.47,DH
46.24,10.06,37.0,36.17,128.06,-5.1,NO
59.17,14.56,43.2,44.6,121.04,2.83,NO
48.8,18.02,52.0,30.78,139.15,10.44,NO
33.84,5.07,36.64,28.77,123.95,-0.2,NO
72.34,16.42,59.87,55.92,70.08,12.07,SL
129.83,8.4,48.38,121.43,107.69,418.54,SL
69.0,13.29,55.57,55.71,126.61,10.83,NO
45.37,10.76,29.04,34.61,117.27,-10.68,DH
74.09,18.82,76.03,55.27,128.41,73.39,SL
44.55,21.93,26.79,22.62,111.07,2.65,DH
77.11,30.47,69.48,46.64,112.15,70.76,SL
40.41,-1.33,30.98,41.74,119.34,-6.17,NO
52.42,19.01,35.87,33.41,116.56,1.69,DH
64.62,15.23,67.63,49.4,90.3,31.33,SL
48.9,5.59,55.5,43.32,137.11,19.85,NO
55.29,20.44,34.0,34.85,115.88,3.56,DH
53.91,12.94,39.0,40.97,118.19,5.07,NO
72.96,19.58,61.01,53.38,111.23,0.81,NO
80.65,26.34,60.9,54.31,120.1,52.47,SL
80.99,36.84,86.96,44.14,141.09,85.87,SL
44.36,8.95,46.9,35.42,129.22,4.99,NO
36.13,22.76,29.0,13.37,115.58,-3.24,DH
41.17,17.32,33.47,23.85,116.38,-9.57,DH
43.35,7.47,28.07,35.88,112.78,5.75,DH
91.47,24.51,84.62,66.96,117.31,52.62,SL
53.94,20.72,29.22,33.22,114.37,-0.42,NO
85.68,38.65,82.68,47.03,120.84,61.96,SL
50.07,9.12,32.17,40.95,99.71,26.77,SL
118.14,38.45,50.84,79.7,81.02,74.04,SL
65.76,9.83,50.82,55.92,104.39,39.31,SL
64.26,14.5,43.9,49.76,115.39,5.95,NO
77.24,16.74,49.78,60.5,110.69,39.79,SL
63.4,14.12,48.14,49.29,111.92,31.78,SL
43.19,9.98,28.94,33.22,123.47,1.74,NO
89.83,22.64,90.56,67.2,100.5,3.04,NO
73.64,9.71,63.0,63.92,98.73,26.98,SL
69.4,18.9,75.97,50.5,103.58,-0.44,NO
54.75,9.75,48.0,45.0,123.04,8.24,NO
69.63,21.12,52.77,48.5,116.8,54.82,SL
42.92,-5.85,58.0,48.76,121.61,-3.36,NO
46.64,15.85,40.0,30.78,119.38,9.06,NO
44.94,17.44,27.78,27.49,117.98,5.57,DH
67.54,14.66,58.0,52.88,123.63,25.97,NO
43.12,13.82,40.35,29.3,128.52,0.97,NO
48.26,16.42,36.33,31.84,94.88,28.34,SL
75.3,16.67,61.3,58.63,118.88,31.58,SL
41.35,16.58,30.71,24.78,113.27,-4.5,DH
59.73,7.72,55.34,52.0,125.17,3.24,NO
83.7,20.27,77.11,63.43,125.48,69.28,SL
72.05,24.7,79.87,47.35,107.17,56.43,SL
54.74,12.1,41.0,42.65,117.64,40.38,SL
57.3,24.19,47.0,33.11,116.81,5.77,DH
85.1,21.07,91.73,64.03,109.06,38.03,SL
60.04,14.31,58.04,45.73,105.13,30.41,SL
72.56,17.39,52.0,55.18,119.19,32.11,SL
47.66,13.28,36.68,34.38,98.25,6.27,DH
51.08,14.21,35.95,36.87,115.8,6.91,NO
65.01,9.84,57.74,55.18,94.74,49.7,SL
88.02,39.84,81.77,48.18,116.6,56.77,SL
26.15,10.76,14.0,15.39,125.2,-10.09,DH
71.0,37.52,84.54,33.49,125.16,67.77,SL
41.65,8.84,36.03,32.81,116.56,-6.05,NO
65.61,23.14,62.58,42.47,124.13,-4.08,NO
44.32,12.54,36.1,31.78,124.12,5.42,DH
60.63,20.6,64.54,40.03,117.23,104.86,SL
46.44,8.4,29.04,38.05,115.48,2.05,DH
63.79,21.35,66.0,42.45,119.55,12.38,NO
71.24,5.27,86.0,65.97,110.7,38.26,SL
86.75,36.04,69.22,50.71,139.41,110.86,SL
54.95,5.87,53.0,49.09,126.97,-0.63,NO
58.1,14.84,79.65,43.26,113.59,50.24,SL
49.0,13.11,51.87,35.88,126.4,0.54,NO
53.57,20.46,33.1,33.11,110.97,7.04,DH
81.08,21.26,78.77,59.83,90.07,49.16,SL
74.72,14.32,32.5,60.4,107.18,37.02,SL
63.77,12.76,65.36,51.01,89.82,56.0,SL
63.07,24.41,54.0,38.66,106.42,15.78,DH
48.92,19.96,40.26,28.95,119.32,8.03,DH
80.07,48.07,52.4,32.01,110.71,67.73,SL
63.96,16.06,63.12,47.9,142.36,6.3,NO
56.03,16.3,62.28,39.73,114.02,-2.33,DH
82.41,29.28,77.05,53.13,117.04,62.77,SL
78.4,14.04,79.69,64.36,104.73,12.39,SL
50.75,20.24,37.0,30.52,122.34,2.29,NO
56.61,16.8,42.0,39.81,127.29,24.02,SL
71.19,23.9,43.7,47.29,119.86,27.28,SL
46.86,15.35,38.0,31.5,116.25,1.66,DH
40.25,13.92,25.12,26.33,130.33,2.23,DH
39.09,5.54,26.93,33.55,131.58,-0.76,NO
63.93,19.97,40.18,43.96,113.07,-11.06,NO
115.92,37.52,76.8,78.41,104.7,81.2,SL
63.36,20.02,67.5,43.34,131.0,37.56,SL
77.41,29.4,63.23,48.01,118.45,93.56,SL
94.17,15.38,67.71,78.79,114.89,53.26,SL
41.77,17.9,20.03,23.87,118.36,2.06,DH
45.25,8.69,41.58,36.56,118.55,0.21,NO
85.64,42.69,78.75,42.95,105.14,42.89,SL
92.03,35.39,77.42,56.63,115.72,58.06,SL
83.93,41.29,62.0,42.65,115.01,26.59,SL
74.98,14.92,53.73,60.05,105.65,1.59,NO
49.83,16.74,28.0,33.09,121.44,1.91,NO
51.31,8.88,57.0,42.44,126.47,-2.14,NO
65.76,13.21,44.0,52.55,129.39,-1.98,NO
47.9,13.62,36.0,34.29,117.45,-4.25,NO
96.66,19.46,90.21,77.2,120.67,64.08,SL
61.41,25.38,39.1,36.03,103.4,21.84,SL
83.4,34.31,78.42,49.09,110.47,49.67,SL
43.44,10.1,36.03,33.34,137.44,-3.11,NO
54.92,21.06,42.2,33.86,125.21,2.43,DH
37.14,16.48,24.0,20.66,125.01,7.37,NO
43.58,16.51,47.0,27.07,109.27,8.99,DH
85.0,29.61,83.35,55.39,126.91,71.32,SL
70.48,12.49,62.42,57.99,114.19,56.9,SL
69.78,13.78,58.0,56.0,118.93,17.91,SL
61.54,19.68,52.89,41.86,118.69,4.82,NO
60.75,15.75,43.2,45.0,113.05,31.69,SL
75.44,31.54,89.6,43.9,106.83,54.97,SL
50.82,15.4,42.53,35.42,112.19,10.87,DH
37.9,4.48,24.71,33.42,157.85,33.61,SL
54.5,6.82,47.0,47.68,111.79,-4.41,NO
79.25,23.94,40.8,55.3,98.62,36.71,SL
30.15,11.92,34.0,18.23,112.68,11.46,DH
81.66,28.75,58.23,52.91,114.77,30.61,SL
50.83,9.06,56.3,41.76,79.0,23.04,SL
44.22,1.51,46.11,42.71,108.63,42.81,SL
44.49,21.79,31.47,22.7,113.78,-0.28,NO
70.22,39.82,68.12,30.4,148.53,145.38,SL
48.03,3.97,58.34,44.06,125.35,35.0,SL
50.16,-2.97,42.0,53.13,131.8,-8.29,NO
47.74,12.09,39.0,35.66,117.51,21.68,SL
55.08,-3.76,56.0,58.84,109.92,31.77,SL
39.66,16.21,36.67,23.45,131.92,-4.97,NO
